tipo,titulo,fecha,url,duracion,preciomin,preciomax,lugar,desc
Teatro,"El Balcón de Mersault', Argentina - 'Rota' - Dramaturgia: Natalia Villamil, Argentina. Dirección:...",2023-10-27 20:00,https://www.teatromayor.org/es/evento/teatro/el-balcon-de-mersault-argentina-rota-dramaturgia-natalia-villamil-argentina-direccion-mariano-stolkiner-argentina-13902?function=2911,1.0,55000.0,80000.0,Teatro Estudio,"‘Rota’ cuenta la historia de una madre que debe reconstruir su existencia en torno a la muerte de su hijo, quien se suicida después de cometer un femicidio. Con esta obra, la compañía argentina El Balcón de Mersault buscaba centrar la trama en una mujer que tuvo que criar a un hijo en soledad y a quien se juzga y señala como culpable."
Teatro,"El Balcón de Mersault', Argentina - 'Rota' - Dramaturgia: Natalia Villamil, Argentina. Dirección:...",2023-10-28 20:00,https://www.teatromayor.org/es/evento/teatro/el-balcon-de-mersault-argentina-rota-dramaturgia-natalia-villamil-argentina-direccion-mariano-stolkiner-argentina-13902?function=2912,1.0,55000.0,80000.0,Teatro Estudio,"‘Rota’ cuenta la historia de una madre que debe reconstruir su existencia en torno a la muerte de su hijo, quien se suicida después de cometer un femicidio. Con esta obra, la compañía argentina El Balcón de Mersault buscaba centrar la trama en una mujer que tuvo que criar a un hijo en soledad y a quien se juzga y señala como culpable."
Teatro,"'Proyecto migrante' - Autor y director: Ignacio Tamagno, Argentina",2023-11-03 20:00,https://www.teatromayor.org/es/evento/teatro/proyecto-migrante-autor-y-director-ignacio-tamagno-argentina-13904?function=2913,0.8333333333333334,55000.0,80000.0,Teatro Estudio,"Esta obra mutante, creada sobre un texto base sobre un migrante que decide viajar a Dinamarca con una promesa de trabajo que resulta falsa, se adapta a cada nuevo territorio y lleva consigo la marca de los lugares donde ha sido intervenida. Una creación del artista e investigador argentino Ignacio Tamagno, quien ha sido premiado como actor y dramaturgo."
Teatro,"'Proyecto migrante' - Autor y director: Ignacio Tamagno, Argentina",2023-11-04 20:00,https://www.teatromayor.org/es/evento/teatro/proyecto-migrante-autor-y-director-ignacio-tamagno-argentina-13904?function=2914,0.8333333333333334,55000.0,80000.0,Teatro Estudio,"Esta obra mutante, creada sobre un texto base sobre un migrante que decide viajar a Dinamarca con una promesa de trabajo que resulta falsa, se adapta a cada nuevo territorio y lleva consigo la marca de los lugares donde ha sido intervenida. Una creación del artista e investigador argentino Ignacio Tamagno, quien ha sido premiado como actor y dramaturgo."
Festivales,Festival de Fado,2023-11-10 20:00,https://www.teatromayor.org/es/evento/festivales/festival-de-fado-13908?function=2915,1.25,100000.0,120000.0,Teatro Mayor Julio Mario Santo Domingo,"El Festival de Fado, que surgió en 2011 en Madrid y desde entonces se ha extendido a varias ciudades del mundo, se realiza en Bogotá anualmente desde 2015. En el marco de esta apuesta por promover la lengua y la cultura portuguesa, se han presentado en el Teatro Mayor Julio Mario Santo Domingo artistas como Sara Correia, Katia Guerreiro, Carminho y Jose Manuel Neto, entre otros. El fado, género musical luso, es considerado Patrimonio Cultural Inmaterial de la Humanidad por la UNESCO y en las dos últimas décadas ha aumentado su popularidad en todo el mundo, ganando cada vez más público y ayudando a difundir la cultura y la marca de Portugal a partir de sus melodías."
Música,"Orquesta Filarmónica de Bogotá – Director titular: Joachim Gustafsson, Suecia",2023-11-11 17:00,https://www.teatromayor.org/es/evento/musica/orquesta-filarmonica-de-bogota-director-titular-joachim-gustafsson-suecia-13922?function=2917,1.25,55000.0,55000.0,Teatro Mayor Julio Mario Santo Domingo,"En este concierto, la Orquesta Filarmónica de Bogotá, de la mano de su director titular, Joachim Gustafsonn, interpretará un programa con el Concierto para piano n.° 1 de Johannes Brahms y las ‘Danzas sinfónicas’ de Sergei Rachmaninov. 
 
Orquesta Filarmónica de Bogotá
La actividad desarrollada por la Fundación Filarmónica Colombiana y el trabajo liderado por el maestro Raúl García permitieron la creación de la Orquesta Filarmónica de Bogotá, reconocida formalmente en la ciudad en 1967. En la búsqueda por democratizar la cultura musical, promover la práctica de la música de cámara, la dirección y la divulgación de la música sinfónica, durante sus 56 años de existencia, la Orquesta se ha convertido en patrimonio de la ciudad."
Festivales,Festival de Fado,2023-11-11 20:00,https://www.teatromayor.org/es/evento/festivales/festival-de-fado-13913?function=2916,1.25,55000.0,80000.0,Teatro Estudio,"El Festival de Fado, que surgió en 2011 en Madrid y desde entonces se ha extendido a varias ciudades del mundo, se realiza en Bogotá anualmente desde 2015. En el marco de esta apuesta por promover la lengua y la cultura portuguesa, se han presentado en el Teatro Mayor Julio Mario Santo Domingo artistas como Sara Correia, Katia Guerreiro, Carminho y Jose Manuel Neto, entre otros. El fado, género musical luso, es considerado Patrimonio Cultural Inmaterial de la Humanidad por la UNESCO y en las dos últimas décadas ha aumentado su popularidad en todo el mundo, ganando cada vez más público y ayudando a difundir la cultura y la marca de Portugal a partir de sus melodías."
Música,Orquestas Juveniles de la Orquesta Filarmónica de Bogotá,2023-11-12 11:00,https://www.teatromayor.org/es/evento/musica/orquestas-juveniles-de-la-orquesta-filarmonica-de-bogota-13923?function=2918,1.25,20000.0,30000.0,Teatro Estudio,"La Orquesta Filarmónica de Bogotá, con su propósito de democratizar la música sinfónica, se ha propuesto, junto con su sistema de orquestas, llevar no solo por la capital, sino por todo el país, los distintos ritmos y géneros para el disfrute y aprendizaje del público. Su sistema de orquestas está conformado por varias agrupaciones, entre ellas las juveniles, y un gran proyecto de formación para niños, niñas y jóvenes."
Danza,"Compañía de Danza del Teatro Mayor, Colombia",2023-11-16 20:00,https://www.teatromayor.org/es/evento/danza/compania-de-danza-del-teatro-mayor-colombia-13924?function=2919,2.0,25000.0,25000.0,Teatro Mayor Julio Mario Santo Domingo,"La Compañía de Danza del Teatro Mayor es el grupo de danza contemporánea residente del Teatro Mayor Julio Mario Santo Domingo. Desde 2018 trabaja bajo la dirección artística de la directora, coreógrafa y docente británica Sarah Storer y en 2019 se estableció como compañía profesional. Desde entonces ha presentado obras como ‘Incluso la noche misma está aquí’, el videodanza ‘Ímpeto’ y ‘Rituales’, entre otras."
Danza,"Compañía de Danza del Teatro Mayor, Colombia",2023-11-17 20:00,https://www.teatromayor.org/es/evento/danza/compania-de-danza-del-teatro-mayor-colombia-13924?function=2920,1.25,25000.0,25000.0,Teatro Mayor Julio Mario Santo Domingo,"La Compañía de Danza del Teatro Mayor es el grupo de danza contemporánea residente del Teatro Mayor Julio Mario Santo Domingo. Desde 2018 trabaja bajo la dirección artística de la directora, coreógrafa y docente británica Sarah Storer y en 2019 se estableció como compañía profesional. Desde entonces ha presentado obras como ‘Incluso la noche misma está aquí’, el videodanza ‘Ímpeto’ y ‘Rituales’, entre otras."
Danza,Wangari Danza Afrocontemporánea - 'La Verdad Negada' Directora: Yndira Pera Cuesta. Bienal Internacional de...,2023-11-17 20:00,https://www.teatromayor.org/es/evento/danza/bienal-internacional-de-danza-de-cali-produccion-del-teatro-mayor-julio-mario-santo-domingo-13925?function=2921,1.25,35000.0,45000.0,Teatro Estudio,"BECA DE CREACIÓN DE MEDIANA TRAYECTORIA BIENAL INTERNACIONAL DE DANZA DE CALI OTORGADA POR EL TEATRO MAYOR JULIO MARIO SANTO DOMINGO Y LA BIENAL INTERNACIONAL DE DANZA DE CALI.
Esta obra, ganadora de una de las becas de creación que otorga la Bienal de Danza de Cali, es una creación artística y colectiva que busca, a través de la música y la danza, cuestionar la manera como los medios de comunicación representan a la sociedad afrocolombiana. Partiendo de casos de la vida real, la puesta en escena utiliza elementos de la danza afro y urbana, la danza tradicional del Pacífico Norte y la danza contemporánea para dar un grito en contra de la violencia racial."
Música,"Maxim Vengerov, violín, Rusia",2023-11-18 20:00,https://www.teatromayor.org/es/evento/musica/maxim-vengerov-violin-rusia-13926?function=2923,1.25,450000.0,450000.0,Teatro Mayor Julio Mario Santo Domingo,"El violinista, violista y director ruso Maxim Vengerov regresa a Colombia para ofrecer un recital como solista. Un Premio Grammy y el reconocimiento como Artista del Año por Gramophone en 2002, entre otros reconocimientos, lo convierten en uno de los solistas más destacados del mundo en la actualidad."
Danza,Wangari Danza Afrocontemporánea - 'La Verdad Negada' Directora: Yndira Pera Cuesta. Bienal Internacional de...,2023-11-18 20:00,https://www.teatromayor.org/es/evento/danza/bienal-internacional-de-danza-de-cali-produccion-del-teatro-mayor-julio-mario-santo-domingo-13925?function=2922,1.25,35000.0,45000.0,Teatro Estudio,"BECA DE CREACIÓN DE MEDIANA TRAYECTORIA BIENAL INTERNACIONAL DE DANZA DE CALI OTORGADA POR EL TEATRO MAYOR JULIO MARIO SANTO DOMINGO Y LA BIENAL INTERNACIONAL DE DANZA DE CALI.
Esta obra, ganadora de una de las becas de creación que otorga la Bienal de Danza de Cali, es una creación artística y colectiva que busca, a través de la música y la danza, cuestionar la manera como los medios de comunicación representan a la sociedad afrocolombiana. Partiendo de casos de la vida real, la puesta en escena utiliza elementos de la danza afro y urbana, la danza tradicional del Pacífico Norte y la danza contemporánea para dar un grito en contra de la violencia racial."
Música,Orquesta Filarmónica de Bogotá – Director asistente: Rubián Zuluaga – Un viaje por Colombia,2023-12-03 17:00,https://www.teatromayor.org/es/evento/musica/orquesta-filarmonica-de-bogota-director-asistente-rubian-zuluaga-un-viaje-por-colombia-13927?function=2924,1.25,55000.0,55000.0,Teatro Mayor Julio Mario Santo Domingo,"La Orquesta Filarmónica de Bogotá y su director asistente, Rubián Zuluaga, presentan un concierto que hace un homenaje a la música popular de Colombia, con arreglos de varios compositores tradicionales del país. 
 
Orquesta Filarmónica de Bogotá
La actividad desarrollada por la Fundación Filarmónica Colombiana y el trabajo liderado por el maestro Raúl García permitieron la creación de la Orquesta Filarmónica de Bogotá, reconocida formalmente en la ciudad en 1967. En la búsqueda por democratizar la cultura musical, promover la práctica de la música de cámara, la dirección y la divulgación de la música sinfónica, durante sus 56 años de existencia, la Orquesta se ha convertido en patrimonio de la ciudad."
Familia,Beca de Creación Escénica Multidisciplinar para la Primera Infancia,2023-12-09 17:00,https://www.teatromayor.org/es/evento/familia/beca-de-creacion-escenica-multidisciplinar-para-la-primera-infancia-13928?function=2925,1.25,20000.0,30000.0,Teatro Estudio,"Desde 2012, el Teatro Mayor Julio Mario Santo Domingo, el Teatro Jorge Eliécer Gaitán y el Instituto Distrital de las Artes (Idartes) otorgan la Beca de Creación Multidisciplinar para fomentar la creación y circulación de dos obras que integren tres áreas artísticas, entre la danza, teatro, música, artes plásticas, artes visuales, literatura y tecnología, entre otras."
Familia,Beca de Creación Escénica Multidisciplinar para la Primera Infancia,2023-12-10 11:00,https://www.teatromayor.org/es/evento/familia/beca-de-creacion-escenica-multidisciplinar-para-la-primera-infancia-13928?function=2926,1.25,20000.0,30000.0,Teatro Estudio,"Desde 2012, el Teatro Mayor Julio Mario Santo Domingo, el Teatro Jorge Eliécer Gaitán y el Instituto Distrital de las Artes (Idartes) otorgan la Beca de Creación Multidisciplinar para fomentar la creación y circulación de dos obras que integren tres áreas artísticas, entre la danza, teatro, música, artes plásticas, artes visuales, literatura y tecnología, entre otras."
Música,Orquesta Filarmónica de Bogotá – Director asistente: Rubián Zuluaga – Navidad Filarmónica,2023-12-15 20:00,https://www.teatromayor.org/es/evento/musica/orquesta-filarmonica-de-bogota-director-asistente-rubian-zuluaga-navidad-filarmonica-13929?function=2927,1.25,80000.0,80000.0,Teatro Mayor Julio Mario Santo Domingo,"Como ya es tradición en el Teatro Mayor Julio Mario Santo Domingo, la Orquesta Filarmónica de Bogotá cierra la programación del año y celebra las fiestas con un concierto de Navidad. En esta ocasión, la Orquesta estará bajo la dirección de su director asistente, Rubián Zuluaga. 
Orquesta Filarmónica de Bogotá
La actividad desarrollada por la Fundación Filarmónica Colombiana y el trabajo liderado por el maestro Raúl García permitieron la creación de la Orquesta Filarmónica de Bogotá, reconocida formalmente en la ciudad en 1967. En la búsqueda por democratizar la cultura musical, promover la práctica de la música de cámara, la dirección y la divulgación de la música sinfónica, durante sus 56 años de existencia, la Orquesta se ha convertido en patrimonio de la ciudad."
Teatro,XXXV Festival FAICP,2023-12-15 20:00,https://www.teatromayor.org/es/evento/teatro/xxxv-festival-faicp-13931?function=2933,1.25,,,Teatro Estudio,"En 2023 el Festival Artístico Internacional Invasión de Cultura Popular celebra su edición número 35. Para el lanzamiento, la Fundación Tchyminigagua — compañía que ha creado más de 50 obras que integran técnicas escénicas, acrobáticas, circenses y musicales— realizan una presentación como invitación para toda la comunidad."
Música,Orquesta Filarmónica de Bogotá – Director asistente: Rubián Zuluaga – Navidad Filarmónica,2023-12-16 17:00,https://www.teatromayor.org/es/evento/musica/orquesta-filarmonica-de-bogota-director-asistente-rubian-zuluaga-navidad-filarmonica-13929?function=2928,1.25,80000.0,80000.0,Teatro Mayor Julio Mario Santo Domingo,"Como ya es tradición en el Teatro Mayor Julio Mario Santo Domingo, la Orquesta Filarmónica de Bogotá cierra la programación del año y celebra las fiestas con un concierto de Navidad. En esta ocasión, la Orquesta estará bajo la dirección de su director asistente, Rubián Zuluaga. 
Orquesta Filarmónica de Bogotá
La actividad desarrollada por la Fundación Filarmónica Colombiana y el trabajo liderado por el maestro Raúl García permitieron la creación de la Orquesta Filarmónica de Bogotá, reconocida formalmente en la ciudad en 1967. En la búsqueda por democratizar la cultura musical, promover la práctica de la música de cámara, la dirección y la divulgación de la música sinfónica, durante sus 56 años de existencia, la Orquesta se ha convertido en patrimonio de la ciudad."
